Company,"CIK Code",Ticker,Market,"IRS Number","Bus Street 1","Bus Street 2",City,County,"State Code","State Name",Region,Zip,"Bus Phone","Incorporation State Code","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act",Auditor,"Auditor Key","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate Country","Audit Fees ($)","Audit Related Fees ($)","Benefit Plan Related Fees ($)","FISDI Fees ($)","Tax Related Fees ($)","Tax Related Fees - Compliance ($)","Tax Related Fees - Non-Compliance ($)","Other/Misc Fees ($)","Total Non Audit Fees ($)","Total Fees ($)",Currency,"Fees Include Subsidiaries","Fees Included In Parent Filings","Restated Fees","Year Ended Date","Year Ended","Year Ended Month (Ideal)","Fiscal Year Ends (Currently Reported)","S&P Index","Russell Index",Source,"Source Date","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)"
"ASSOCIATED BANC-CORP",7789,ASB,NYSE,391098068,"433 MAIN STREET",,"GREEN BAY",Brown,WI,WISCONSIN,"US Midwest",54301,"(920) 491-7500",WI,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"1,719,000","119,500",0,0,"86,527",,,0,"206,027","1,925,027",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 2000","DEF 14A",2022-03-11,22.76,2021-12-29,"3,415,691,520",2021-12-31,"1,146,230,000","350,994,000","2,861,768,000","35,104,252,000"
"CENTENE CORP",1071739,CNC,NYSE,421406317,"7700 FORSYTH BLVD.",,"ST LOUIS","Saint Louis",MO,MISSOURI,"US Southeast",63105,"(314) 725-4477",DE,,,6324,"Hospital and Medical Service Plans",524114,"Direct Health and Medical Insurance Carriers",34,"KPMG LLP",4,,,,"15,512,000","1,535,000",0,0,"298,000",,,0,"1,833,000","17,345,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-11,84.22,2021-12-29,"49,142,616,064",2021-12-31,"125,982,000,000","1,347,000,000","-718,000,000","78,375,000,000"
"FMC CORP",37785,FMC,NYSE,940479804,"2929 WALNUT STREET",,PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19104,"(215) 299-6668",DE,,,2800,"Chemicals & Allied Products",325188,"All Other Basic Inorganic Chemical Manufacturing",34,"KPMG LLP",4,,,,"11,272,000","39,000",0,0,"851,000",,,"897,000","1,787,000","13,059,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-11,109.4,2021-12-29,"13,866,613,760",2021-12-31,"5,045,200,000","736,500,000","-952,700,000","10,581,300,000"
"LITHIA MOTORS INC",1023128,LAD,NYSE,930572810,"150 NORTH BARTLETT STREET",,MEDFORD,Jackson,OR,OREGON,"US West",97501,"(541) 776-6401",OR,,,5500,"Retail-Auto Dealers & Gasoline Stations",441110,"New Car Dealers",34,"KPMG LLP",4,,,,"1,892,000","295,000",0,0,"65,446",,,"1,780","362,226","2,254,226",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-11,291.75,2021-12-29,"8,834,062,336",2021-12-31,"22,831,700,000","1,060,100,000","2,884,000,000","11,146,900,000"
"Barings BDC, Inc.",1379785,BBDC,NYSE,061798488,"300 SOUTH TRYON STREET","SUITE 2500",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28202,"(704) 805-7200",NC,,,,,525990,"Other Financial Vehicles",34,"KPMG LLP",4,,,,"891,400","42,024",0,0,"94,013",,,0,"136,037","1,027,437",USD,Uncertain,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-03-11,10.98,2021-12-29,"717,170,624",2021-12-31,"102,321,000","77,685,000",,"2,160,906,000"
"METHANEX CORP",886977,MEOH,"NASDAQ Global Select Market",000000000,"1800 WATERFRONT CENTER","200 BURRARD STREET",VANCOUVER,,A1,"BRITISH COLUMBIA",Canada,"V6C 3M1","(604) 684-7500",A1,,,2860,"Industrial Organic Chemicals",325199,"All Other Basic Organic Chemical Manufacturing",34,"KPMG LLP",4,"KPMG LLP Chartered Accountants",187,ONTARIO,"2,055,000","67,000",0,0,"14,000",,,0,"81,000","2,136,000",USD,,,0,2021-12-31,2021,12,1231,,,40-F,2022-03-11,39.66,2021-12-29,"3,022,170,624",2021-12-31,"4,414,559,000","555,911,000",,"6,089,620,000"
"QIAGEN N.V.",1015820,QGEN,NYSE,000000000,"HULSTERWEG 82",,"PL VENLO",,P7,NETHERLANDS,Foreign,5912,31-77-35566-00,P7,,,2836,"Biological Products, Except Diagnostic Substances",325414,"Biological Product (except Diagnostic) Manufacturing",34,"KPMG LLP",4,"KPMG AG Wirtschaftsprüfungsgesellschaft",254,GERMANY,"3,000,000",0,0,0,"300,000",,,0,"300,000","3,300,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 1000",20-F,2022-03-14,55.74,2021-12-29,"12,707,902,464",2021-12-31,"2,251,657,000","512,599,000","118,351,000","6,146,954,000"
"CELESTICA INC",1030894,CLS,NYSE,980185558,"5140 YONGE STREET, SUITE 1900",,TORONTO,,A6,ONTARIO,Canada,"M2N 6L7","(416) 448-5800",A6,,,3672,"Printed Circuit Boards",334412,"Bare Printed Circuit Board Manufacturing",34,"KPMG LLP",4,"KPMG LLP Chartered Accountants",187,ONTARIO,"3,100,000","200,000",0,0,"100,000",,,0,"300,000","3,400,000",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-14,11.17,2021-12-29,"1,233,734,528",2021-12-31,"5,634,700,000","103,900,000","756,800,000","4,666,900,000"
"WELLS FARGO & COMPANY/MN",72971,WFC,NYSE,410449260,"420 MONTGOMERY STREET",,"SAN FRANCISCO","San Francisco",CA,CALIFORNIA,"US West",94163,"(612) 667-1234",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"46,200,000","4,200,000",0,0,"6,400,000",,,"300,000","10,900,000","57,100,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-14,48.45,2021-12-29,"193,181,417,472",2021-12-31,"82,647,000,000","21,548,000,000","162,426,000,000","1,948,068,000,000"
"OLIN Corp",74303,OLN,NYSE,131872319,"OLIN CORPORATION","190 CARONDELET PLAZA SUITE 1530",CLAYTON,"Saint Louis",MO,MISSOURI,"US Southeast",63105,"(314) 480-1400",VA,,,2800,"Chemicals & Allied Products",325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing",34,"KPMG LLP",4,,,,"3,980,000",0,0,0,0,,,0,0,"3,980,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-14,58.27,2021-12-29,"9,286,924,288",2021-12-31,"8,910,600,000","1,296,700,000","899,900,000","8,517,700,000"
"FIRST HORIZON CORP",36966,FHN,NYSE,620803242,"165 MADISON AVENUE",,MEMPHIS,Shelby,TN,TENNESSEE,"US Southeast",38103,"(901) 818-6232",TN,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"3,535,455","115,000",0,0,0,,,0,"115,000","3,650,455",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-14,16.45,2021-12-29,"8,895,340,544",2021-12-31,"3,380,000,000","999,000,000","6,390,000,000","89,092,000,000"
"WESTPORT FUEL SYSTEMS INC.",1370416,WPRT,"NASDAQ Global Select Market",000000000,"1691 WEST 75TH AVENUE",,VANCOUVER,,A1,"BRITISH COLUMBIA",Canada,V6P6G2,"(604) 718-2000",,,,3510,"Engines & Turbines",333618,"Other Engine Equipment Manufacturing",34,"KPMG LLP",4,"KPMG LLP Chartered Accountants",187,ONTARIO,"1,693,852","5,985",0,0,0,,,0,"5,985","1,699,837",USD,,,0,2021-12-31,2021,12,1231,,,40-F,2022-03-14,2.23,2021-12-29,"321,276,032",2021-12-31,"312,412,000","13,658,000","224,012,000","471,313,000"
"UMB FINANCIAL CORP",101382,UMBF,"NASDAQ Global Select Market",430903811,"1010 GRAND AVE",,"KANSAS CITY",Jackson,MO,MISSOURI,"US Southeast",64106,"(816) 860-7000",MO,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"1,352,900","28,700",0,0,"2,000",,,"40,000","70,700","1,423,600",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 2000","DEF 14A",2022-03-15,107.13,2021-12-29,"5,180,678,144",2021-12-31,"1,262,696,000","353,018,000","2,956,490,000","42,693,484,000"
"SYNOVUS FINANCIAL CORP",18349,SNV,NYSE,581134883,"1111 BAY AVENUE","STE 500",COLUMBUS,Muscogee,GA,GEORGIA,"US Southeast",31901,"(706) 649-2311",GA,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"2,424,029","149,000",0,0,"289,410",,,"1,780","440,190","2,864,219",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 1000","DEF 14A",2022-03-15,48,2021-12-29,"6,984,524,288",2021-12-31,"2,089,264,000","760,467,000","4,808,814,000","57,317,226,000"
"Permian Resources Corp",1658566,PR,NYSE,475381253,"1001 SEVENTEENTH STREET","SUITE 1800",DENVER,Denver,CO,COLORADO,"US West",80202,"(720) 499-1400",DE,,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,"KPMG LLP",4,,,,"950,000","115,000",0,0,0,,,0,"115,000","1,065,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-15,6.26,2021-12-29,"1,778,415,872",2021-12-31,"1,029,892,000","138,175,000",,"3,804,594,000"
"CITIGROUP INC",831001,C,NYSE,521568099,"388 GREENWICH STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10013,"(212) 559-1000",DE,,,6021,"National Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"72,900,000","21,300,000",0,0,"5,900,000","5,900,000",,"10,393","27,210,393","100,110,393",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-15,60.54,2021-12-29,"120,127,537,152",2021-12-31,"75,206,000,000","21,952,000,000","176,178,000,000","2,291,413,000,000"
"NRG ENERGY, INC.",1013871,NRG,NYSE,411724239,"910 LOUISIANA STREET",,HOUSTON,Harris,TX,TEXAS,"US Southwest",77002,"(713) 537-3000",DE,,,4911,"Electric Services",221122,"Electric Power Distribution",34,"KPMG LLP",4,,,,"9,367,000",0,0,0,"1,505,000",,,0,"1,505,000","10,872,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-15,42.89,2021-12-29,"10,501,130,240",2021-12-31,"26,989,000,000","2,187,000,000","-706,000,000","23,182,000,000"
"MAVERIX METALS INC.",1773250,,,,"510 BURRARD STREET","SUITE 575",VANCOUVER,,A1,"BRITISH COLUMBIA",Canada,"V6C 3A8","(604) 343-6225",A1,,,1040,"Metal Mining",533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",34,"KPMG LLP",4,"KPMG LLP Chartered Accountants",187,ONTARIO,"174,125",0,0,0,0,,,0,0,"174,125",USD,,,0,2021-12-31,2021,12,1231,,,40-F,2022-03-16,4.3,2021-12-29,"604,099,712",2021-12-31,"57,532,000","24,072,000","56,907,000","392,535,000"
"CAMTEK LTD",1109138,CAMT,"NASDAQ Global Market",000000000,"INDUSTRIAL ZONE",*,"MIGDAL HAEMEK",,L3,ISRAEL,Foreign,10556,972-4-604-8100,L3,,,3827,"Optical Instruments and Lenses",333314,"Optical Instrument and Lens Manufacturing",34,"KPMG LLP",4,"Somekh Chaikin Certified Public Accountants (Israel)",220,ISRAEL,"334,850",0,0,0,"36,500",,,0,"36,500","371,350",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-15,45.98,2021-12-29,"1,990,756,992",2021-12-31,"269,659,000","60,277,000","293,017,000","583,757,000"
"OFG BANCORP",1030469,OFG,NYSE,660538893,"254 MU?OZ RIVERA AVENUE",,"SAN JUAN",,PR,"PUERTO RICO","US Southeast",00918,"(787) 771-6800",PR,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"1,322,800",0,0,0,0,,,"10,000","10,000","1,332,800",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-16,27.02,2021-12-29,"1,346,877,824",2021-12-31,"541,840,000","146,151,000","946,998,000","9,899,720,000"
"Triton International Ltd",1660734,TRTN,NYSE,981276572,"VICTORIA PLACE, 5TH FLOOR","31 VICTORIA STREET",HAMILTON,,D0,BERMUDA,Foreign,"HM 10","(914) 697-2900",D0,,,7359,"Equipment Rental and Leasing, NEC",532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing",34,"KPMG LLP",4,,,,"2,243,130",0,0,0,"633,801",,,"256,000","889,801","3,132,931",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-16,60.55,2021-12-29,"4,043,012,096",2021-12-31,"1,676,849,000","530,240,000","2,810,930,000","12,643,838,000"
"City Office REIT, Inc.",1593222,CIO,NYSE,981141883,"SUITE 3210 - 666 BURRARD STREET",,VANCOUVER,,A1,"BRITISH COLUMBIA",Canada,"V6C 2X8",1-604-806-3353,,,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,"KPMG LLP",4,"KPMG LLP Chartered Accountants",187,ONTARIO,"523,016",0,0,0,0,,,0,0,"523,016",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-16,19.66,2021-12-29,"856,279,040",2021-12-31,"164,041,000","484,395,000","800,691,000","1,601,513,000"
"MOODYS CORP /DE/",1059556,MCO,NYSE,133998945,"7 WORLD TRADE CENTER","AT 250 GREENWICH STREET","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10007,"(212) 553-0300",DE,,,7320,"Services-Consumer Credit Reporting, Collection Agencies",561450,"Credit Bureaus",34,"KPMG LLP",4,,,,"6,700,000","200,000",0,0,"200,000",,,0,"400,000","7,100,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-16,398.06,2021-12-29,"73,999,351,808",2021-12-31,"6,218,000,000","2,214,000,000",,"14,680,000,000"
"ASTEC INDUSTRIES INC",792987,ASTE,"NASDAQ Global Select Market",620873631,"1725 SHEPHERD ROAD",,CHATTANOOGA,Hamilton,TN,TENNESSEE,"US Southeast",37421,"(423) 899-5898",TN,,,3531,"Construction Machinery and Equipment",333120,"Construction Machinery Manufacturing",34,"KPMG LLP",4,,,,"2,937,348",0,0,0,"103,491",,,0,"103,491","3,040,839",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-17,69.9,2021-12-29,"1,591,250,560",2021-12-31,"1,095,500,000","15,800,000","589,500,000","905,800,000"
"NORTHERN TRUST CORP",73124,NTRS,"NASDAQ Global Select Market",362723087,"50 S LASALLE ST",,CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60603,"(312) 630-6000",DE,,,6022,"State Commercial Banks",523110,"Investment Banking and Securities Dealing",34,"KPMG LLP",4,,,,"4,784,422","3,416,542",0,0,"566,978",,,"52,883","4,036,403","8,820,825",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-17,120.02,2021-12-29,"24,923,502,592",2021-12-31,"6,546,000,000","1,545,300,000","33,338,800,000","183,889,800,000"
"AFLAC INC",4977,AFL,NYSE,581167100,"1932 WYNNTON RD",,COLUMBUS,Muscogee,GA,GEORGIA,"US Southeast",31999,"(706) 323-3431",GA,,,6321,"Accident and Health Insurance",524114,"Direct Health and Medical Insurance Carriers",34,"KPMG LLP",4,,,,"9,627,574","535,100",0,0,"2,170",,,0,"537,270","10,164,844",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-17,58.79,2021-12-29,"38,891,245,568",2021-12-31,"22,106,000,000","4,325,000,000",,"157,542,000,000"
"PFIZER INC",78003,PFE,NYSE,135315170,"66 HUDSON BOULEVARD EAST",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10001-2192,"(212) 733-2323",DE,,,2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",34,"KPMG LLP",4,,,,"29,606,000",0,"920,000",0,"2,712,000",,,0,"3,632,000","33,238,000",USD,Uncertain,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-17,57.58,2021-12-29,"323,188,850,688",2021-12-31,"81,288,000,000","21,980,000,000","2,845,000,000","181,475,000,000"
"PRUDENTIAL PLC",1116578,PUK,NYSE,000000000,"1 ANGEL COURT",,LONDON,,X0,"UNITED KINGDOM",Foreign,"EC2R 7AG",011442075483737,X0,,,6311,"Life Insurance",524113,"Direct Life Insurance Carriers",34,"KPMG LLP",4,"KPMG LLP",87,"UNITED KINGDOM","8,300,000","4,500,000",0,0,0,,,"2,700,000","7,200,000","15,500,000",USD,,,0,2021-12-31,2021,12,1231,,,20-F,2022-03-17,34.37,2021-12-29,"50,124,148,736",2021-12-31,"26,500,000,000","-2,813,000,000","16,181,000,000","199,102,000,000"
"TEXTAINER GROUP HOLDINGS LTD",1413159,TGH,NYSE,980530316,"CENTURY HOUSE","16 PAR-LA-VILLE ROAD",HAMILTON,,D0,BERMUDA,Foreign,"HM HX","(441) 296-2500",D0,,,7359,"Equipment Rental and Leasing, NEC",483111,"Deep Sea Freight Transportation",34,"KPMG LLP",4,,,,"1,883,000","555,000",0,0,"20,000",,,0,"575,000","2,458,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000",20-F,2022-03-17,36.44,2021-12-29,"1,840,066,560",2021-12-31,"853,364,000","284,288,000",,"7,367,444,000"
"OWENS & MINOR INC/VA/",75252,OMI,NYSE,541701843,"9120 LOCKWOOD BLVD",,MECHANICSVILLE,Hanover,VA,VIRGINIA,"US Mid Atlantic",23116,"(804) 723-7000",VA,,,5047,"Medical, Dental, and Hospital Equipment and Supplies",423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",34,"KPMG LLP",4,,,,"3,299,000","31,000",0,0,"286,000",,,"2,000","319,000","3,618,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-17,43.6,2021-12-29,"3,289,871,104",2021-12-31,"9,785,315,000","221,589,000","338,571,000","3,536,551,000"
"ENTEGRIS INC",1101302,ENTG,"NASDAQ Global Select Market",411941551,"129 CONCORD ROAD",,BILLERICA,Middlesex,MA,MASSACHUSETTS,"US New England",01821,"(978) 436-6500",DE,,,3089,"Plastics Products, NEC",333295,"Semiconductor Machinery Manufacturing",34,"KPMG LLP",4,,,,"1,855,000","81,000",0,0,"696,000",,,0,"777,000","2,632,000",USD,,,0,2021-12-31,2021,12,0831,,"Russell 1000","DEF 14A",2022-03-17,138.9,2021-12-29,"18,822,975,488",2021-12-31,"2,298,893,000","409,126,000","584,966,000","3,191,896,000"
"VALERO ENERGY CORP/TX",1035002,VLO,NYSE,741828067,"P.O. BOX 696000",,"SAN ANTONIO",Bexar,TX,TEXAS,"US Southwest",78269-6000,"(210) 345-4524",DE,,,2911,"Petroleum Refining",324110,"Petroleum Refineries",34,"KPMG LLP",4,,,,"8,700,000","500,000",0,0,"600,000",,,0,"1,100,000","9,800,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-17,74.65,2021-12-29,"30,519,578,624",2021-12-31,"113,977,000,000","930,000,000",,"57,888,000,000"
"ALAMO GROUP INC",897077,ALG,NYSE,741621248,"1627 E WALNUT",,SEGUIN,Guadalupe,TX,TEXAS,"US Southwest",78155,"(830) 379-1480",DE,,,3523,"Farm Machinery and Equipment",333111,"Farm Machinery and Equipment Manufacturing",34,"KPMG LLP",4,,,,"2,382,000",0,0,0,"1,094,000",,,0,"1,094,000","3,476,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-17,147.72,2021-12-29,"1,761,375,744",2021-12-31,"1,334,223,000","80,245,000","319,791,000","1,205,742,000"
"Livent Corp.",1742924,LTHM,NYSE,824699376,"1818 MARKET STREET",,PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19103,"(215) 299-5900",DE,,,2800,"Chemicals & Allied Products",325188,"All Other Basic Inorganic Chemical Manufacturing",34,"KPMG LLP",4,,,,"2,783,000","9,000",0,0,"290,000","290,000",,0,"299,000","3,082,000",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-17,24.84,2021-12-29,"4,013,523,456",2021-12-31,"420,400,000","600,000",,"1,202,500,000"
"CHARTER COMMUNICATIONS, INC. /MO/",1091667,CHTR,"NASDAQ Global Select Market",841496755,"400 ATLANTIC STREET",,STAMFORD,Fairfield,CT,CONNECTICUT,"US New England",06901,"(203) 905-7800",,,,4841,"Cable and Other Pay Television Services",517510,"Cable and Other Program Distribution",34,"KPMG LLP",4,,,,"8,000,000",0,0,0,"1,000,000",,,0,"1,000,000","9,000,000",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-17,656.28,2021-12-29,"117,665,144,832",2021-12-31,"51,682,000,000","4,654,000,000","-86,918,000,000","142,491,000,000"
"AIR LEASE CORP",1487712,AL,NYSE,271840403,"2000 AVENUE OF THE STARS","SUITE 1000-N","LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90067,"(310) 553-0555",DE,,,7359,"Equipment Rental and Leasing, NEC",532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",34,"KPMG LLP",4,,,,"1,343,300","287,600",0,0,0,,,0,"287,600","1,630,900",USD,,,0,2021-12-31,2021,12,1231,,"Russell 1000","DEF 14A",2022-03-18,44.15,2021-12-29,"5,032,532,992",2021-12-31,"2,088,389,000","436,632,000",,"26,968,722,000"
"SONIC AUTOMOTIVE INC",1043509,SAH,NYSE,562010790,"4401 COLWICK ROAD",,CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28211,"(704) 566-2400",DE,,,5500,"Retail-Auto Dealers & Gasoline Stations",441110,"New Car Dealers",34,"KPMG LLP",4,,,,"2,781,741","1,950,000",0,0,0,,,0,"1,950,000","4,731,741",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-18,48.58,2021-12-29,"1,419,760,128",2021-12-31,"12,396,400,000","348,900,000","179,800,000","4,975,100,000"
"REGENCY CENTERS CORP",910606,REG,"NASDAQ Global Select Market",593191743,"ONE INDEPENDENT DRIVE","SUITE 114",JACKSONVILLE,Duval,FL,FLORIDA,"US Southeast",32202,"(904) 598-7000",FL,,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,"KPMG LLP",4,,,,"1,993,625",0,0,0,"368,286",,,0,"368,286","2,361,911",USD,Yes,,0,2021-12-31,2021,12,1231,"S&P 500","Russell 1000","DEF 14A",2022-03-18,74.29,2021-12-29,"12,719,414,272",2021-12-31,"1,166,161,000","680,613,000","5,824,664,000","10,792,563,000"
"DONEGAL GROUP INC",800457,DGICA,"NASDAQ Global Select Market",232424711,"1195 RIVER RD PO BOX 302",,MARIETTA,Lancaster,PA,PENNSYLVANIA,"US Mid Atlantic",17547-0302,"(717) 426-1931",DE,,,6331,"Fire, Marine, and Casualty Insurance",524126,"Direct Property and Casualty Insurance Carriers",34,"KPMG LLP",4,,,,"980,000",0,0,0,0,,,"30,000","30,000","1,010,000",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-18,14.24,2021-12-29,"366,716,640",2021-12-31,"816,465,791","25,254,174","524,452,723","2,255,175,399"
"Walker & Dunlop, Inc.",1497770,WD,NYSE,800629925,"7272 WISCONSIN AVENUE","SUITE 1300",BETHESDA,Montgomery,MD,MARYLAND,"US Mid Atlantic",20814,"(301) 215-5500",MD,,,6199,"Finance Services",522310,"Mortgage and Nonmortgage Loan Brokers",34,"KPMG LLP",4,,,,"1,453,086","157,500",0,0,"926,499",,,0,"1,083,999","2,537,085",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-18,150.41,2021-12-29,"4,818,868,224",2021-12-31,"1,264,484,000","265,762,000","667,613,000","5,205,989,000"
"PROVIDENT FINANCIAL SERVICES INC",1178970,PFS,NYSE,421547151,"830 BERGEN AVENUE",,"JERSEY CITY",Hudson,NJ,"NEW JERSEY","US Mid Atlantic",07306,"(201) 333-1000",DE,,,6035,"Savings Institutions, Federally Chartered",522120,"Savings Institutions",34,"KPMG LLP",4,,,,"1,244,000",0,"143,300",0,0,,,0,"143,300","1,387,300",USD,,,0,2021-12-31,2021,12,1231,"S&P 600 SmallCap","Russell 2000","DEF 14A",2022-03-18,24.36,2021-12-29,"1,884,847,232",2021-12-31,"477,171,000","167,921,000","1,232,913,000","13,781,202,000"
"UNIVEST FINANCIAL Corp",102212,UVSP,"NASDAQ Global Select Market",231886144,"14 NORTH MAIN STREET","PO BOX 197",SOUDERTON,Montgomery,PA,PENNSYLVANIA,"US Mid Atlantic",18964,"(215) 721-2400",PA,,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"KPMG LLP",4,,,,"992,000","79,567",0,0,0,,,"1,780","81,347","1,073,347",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-18,30.06,2021-12-29,"885,237,312",2021-12-31,"281,739,000","91,801,000","586,436,000","7,122,421,000"
"Magnolia Oil & Gas Corp",1698990,MGY,NYSE,815365682,"NINE GREENWAY PLAZA","SUITE 1300",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 842-9050",DE,,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,"KPMG LLP",4,,,,"1,978,700",0,0,0,0,,,0,0,"1,978,700",USD,,,0,2021-12-31,2021,12,1231,,"Russell 2000","DEF 14A",2022-03-18,19.4,2021-12-29,"3,526,950,912",2021-12-31,"1,078,351,000","417,282,000","816,757,000","1,746,742,000"
"ARES CAPITAL CORP",1287750,ARCC,"NASDAQ Global Select Market",331089684,"245 PARK AVENUE, 44TH FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10167,"(212) 750-7300",MD,,,,,525990,"Other Financial Vehicles",34,"KPMG LLP",4,,,,"2,352,000","102,000",0,0,"650,960",,,0,"752,960","3,104,960",USD,,,0,2021-12-31,2021,12,1231,,,"DEF 14A",2022-03-18,20.85,2021-12-29,"9,606,719,488",2021-12-31,"1,448,000,000","1,567,000,000",,"20,843,000,000"
"INDEPENDENCE REALTY TRUST, INC.",1466085,IRT,NYSE,264567130,"1835 MARKET STREET","SUITE 2601",PHILADELPHIA,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",19103,"(267) 270-4800",MD,,,6798,"Real Estate Investment Trusts",525930,"Real Estate Investment Trusts",34,"KPMG LLP",4,,,,"870,000","530,000",0,0,"290,500",,,0,"820,500","1,690,500",USD,,,0,2021-12-31,2021,12,1231,"S&P 400 MidCap","Russell 2000","DEF 14A",2022-03-18,24.44,2021-12-29,"2,568,935,936",2021-12-31,"250,252,000","44,589,000","3,427,492,000","6,506,696,000"
